chunk_index,prediction,truth
0,Human,Human
1,Human,Human
2,Human,Human
3,Human,Human
4,Human,Human
5,Human,Human
6,AI,Human
7,AI,Human
8,AI,Human
9,Human,Human
10,Human,Human
11,Human,Human
12,Human,Human
13,Human,Human
14,Human,Human
15,Human,Human
16,Human,Human
17,Human,Human
18,Human,Human
19,Human,Human
20,Human,Human
21,Human,Human
22,Human,Human
23,Human,Human
24,Human,Human
25,Human,Human
26,Human,Human
27,Human,Human
28,Human,Human
29,Human,Human
30,AI,Human
31,Human,Human
32,Human,Human
33,Human,Human
34,Human,Human
35,Human,Human
36,Human,Human
37,AI,Human
38,AI,Human
39,AI,Human
40,AI,Human
41,AI,Human
42,AI,Human
43,AI,Human
44,AI,Human
45,AI,Human
46,Human,Human
47,Human,Human
48,Human,Human
49,AI,Human
50,AI,Human
51,AI,Human
52,AI,Human
53,AI,Human
54,AI,Human
55,AI,Human
56,AI,Human
57,AI,Human
58,AI,Human
59,AI,Human
60,AI,Human
61,AI,Human
62,AI,Human
63,AI,Human
64,Human,Human
65,Human,Human
66,AI,Human
67,AI,Human
68,AI,Human
69,AI,Human
70,AI,AI
71,AI,AI
72,AI,AI
73,AI,AI
74,AI,AI
75,AI,AI
76,AI,AI
77,AI,AI
78,AI,AI
79,AI,AI
80,AI,AI
81,AI,AI
82,AI,AI
83,AI,AI
84,AI,AI
85,AI,AI
86,AI,AI
87,AI,AI
88,AI,AI
89,AI,AI
90,AI,AI
91,AI,AI
92,AI,AI
93,AI,AI
94,AI,AI
95,AI,AI
96,AI,AI
97,AI,AI
98,AI,AI
99,AI,AI
100,AI,AI
101,AI,AI
102,AI,AI
103,AI,AI
104,AI,AI
105,AI,AI
106,AI,AI
107,AI,AI
108,AI,AI
109,AI,AI
110,AI,AI
111,AI,AI
112,AI,AI
113,AI,AI
114,AI,AI
115,AI,AI
116,AI,AI
117,AI,AI
118,Human,AI
119,AI,AI
120,AI,AI
121,AI,AI
122,AI,AI
123,AI,AI
124,AI,AI
125,AI,AI
126,AI,AI
127,AI,AI
128,AI,AI
129,AI,AI
130,AI,AI
131,AI,AI
132,AI,AI
133,AI,AI
134,AI,AI
135,Human,AI
136,AI,AI
137,AI,AI
138,AI,AI
139,AI,AI
140,Human,AI
141,AI,AI
142,AI,AI
143,Human,AI
144,AI,AI
145,AI,AI
146,AI,AI
147,Human,AI
148,Human,AI
149,Human,AI
150,Human,AI
151,Human,AI
152,AI,AI
153,Human,AI
154,Human,AI
155,AI,AI
156,AI,AI
157,AI,AI
158,AI,AI
159,AI,AI
160,AI,AI
161,AI,AI
162,AI,AI
163,AI,AI
164,AI,AI
165,AI,AI
166,AI,AI
167,AI,AI
168,AI,AI
169,AI,AI
170,AI,AI
171,AI,AI
172,AI,AI
173,AI,AI
174,AI,AI
175,AI,AI
176,AI,AI
177,AI,AI
178,AI,AI
179,AI,AI
180,AI,AI
181,AI,AI
182,AI,AI
183,AI,AI
184,AI,AI
185,AI,AI
186,AI,AI
187,AI,AI
188,AI,AI
189,AI,AI
190,AI,AI
191,AI,AI
192,AI,AI
193,AI,AI
194,Human,AI
195,AI,AI
196,AI,AI
197,AI,AI
198,AI,AI
199,AI,AI
200,Human,AI
201,Human,AI
202,AI,AI
203,Human,AI
204,AI,AI
205,AI,AI
206,AI,AI
207,AI,AI
208,AI,AI
209,AI,AI
210,AI,AI
211,AI,AI
212,AI,AI
213,AI,AI
214,AI,AI
215,AI,AI
216,AI,AI
217,AI,AI
218,AI,AI
219,AI,AI
220,AI,AI
221,AI,AI
222,AI,AI
223,AI,AI
224,AI,AI
225,AI,AI
226,AI,AI
227,AI,AI
228,AI,AI
229,AI,AI
230,AI,AI
231,AI,AI
232,AI,AI
233,AI,AI
234,AI,AI
235,AI,AI
236,AI,AI
237,AI,AI
238,AI,AI
239,AI,AI
240,AI,AI
241,AI,AI
242,AI,AI
243,AI,AI
244,AI,AI
245,AI,AI
246,AI,AI
247,AI,AI
248,AI,AI
249,AI,AI
250,AI,AI
251,AI,AI
252,AI,AI
253,AI,AI
254,AI,AI
255,AI,AI
256,AI,AI
257,AI,AI
258,AI,AI
259,AI,AI
260,AI,AI
261,AI,AI
262,AI,AI
263,AI,AI
264,AI,AI
265,AI,AI
266,AI,AI
267,AI,AI
268,AI,AI
269,AI,AI
270,AI,AI
271,AI,AI
272,AI,AI
273,AI,AI
274,AI,AI
275,AI,AI
276,AI,AI
277,AI,AI
278,AI,AI
279,AI,AI
280,AI,AI
281,AI,AI
282,AI,AI
283,AI,AI
284,AI,AI
285,AI,AI
286,AI,AI
287,AI,AI
